FIPS,NAME,QNAME,STATE,Geo_SUMLEV,Geo_LOGRECNO,REGION,DIVISION,STATEFIPS,Geo_CBSA,CBSA_Sizecode,CSA,Geo_AREALAND,Geo_AREAWATR,HousUnit,Geo_INTPTLAT,Geo_INTPTLON,Geo_LSADC,Geo_PARTFLAG,Geo_STATENS,Geo_CSASC,Geo_MEMI,TotPop,White,Black,AIAN,Asian,NHPI,Latinx,NatB,FB
110700,"Albertville, AL Micro Area","Albertville, Alabama",AL,320,287899,3,6,1,10700,17,999,1465522757,148503356,40342,34.3257251,-86.2963167,M2,W,1779775,0,2,93019,78060,1389,570,475,63,11238,85660,7410
110760,"Alexander City, AL Micro Area","Alexander City, Alabama",AL,320,287902,3,6,1,10760,17,388,3541671132,168755442,28589,32.8857566,-85.9645484,M2,W,1779775,19,2,53155,36442,14606,159,211,2,1272,51875,964
111500,"Anniston-Oxford, AL Metro Area","Anniston-Oxford, Alabama",AL,320,287906,3,6,1,11500,18,999,1569189995,16624267,53289,33.7277819,-85.8250917,M1,W,1779775,0,1,118572,87285,24177,480,830,94,3893,115015,2819
112220,"Auburn-Opelika, AL Metro Area","Auburn-Opelika, Alabama",AL,320,287910,3,6,1,12220,18,194,1573510728,21530362,62391,32.6014173,-85.3419744,M1,W,1779775,19,1,140247,97900,31674,397,3615,66,4571,134061,6877
113820,"Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, Alabama",AL,320,287914,3,6,1,13820,21,142,13673875552,233771784,500025,33.5022591,-86.7988209,M1,W,1779775,21,1,1128047,733656,317019,2857,13748,319,48530,1080703,47390
117980,"Columbus, GA-AL Metro Area (part)","Columbus, Alabama",AL,320,287924,3,6,1,17980,19,194,1660545751,15673340,24595,32.3758605,-85.0882693,M1,P,1779775,19,1,52947,27591,21926,189,223,112,1946,53081,857
118980,"Cullman, AL Micro Area","Cullman, Alabama",AL,320,287926,3,6,1,18980,17,142,1903228333,52266921,37054,34.1526891,-86.8387271,M2,W,1779775,21,2,80406,74568,821,397,339,18,3454,78112,2291
119300,"Daphne-Fairhope-Foley, AL Micro Area","Daphne-Fairhope-Foley, Alabama",AL,320,287929,3,6,1,19300,18,380,4117521611,1133190229,104061,30.5855436,-87.7531138,M2,W,1779775,20,2,182265,152200,16966,1146,1340,79,7992,176391,6835
119460,"Decatur, AL Metro Area","Decatur, Alabama",AL,320,287935,3,6,1,19460,18,290,3289322887,119753325,66422,34.5232515,-87.047002,M1,W,1779775,20,1,153829,119005,17976,2856,706,74,9730,146675,6803
120020,"Dothan, AL Metro Area","Dothan, Alabama",AL,320,287939,3,6,1,20020,18,222,4444374403,33492066,66897,31.2180498,-85.4776702,M1,W,1779775,18,1,145639,104154,33476,644,915,53,4304,142116,3387
121460,"Enterprise-Ozark, AL Micro Area","Enterprise-Ozark, Alabama",AL,320,287944,3,6,1,21460,18,222,3211899943,7961187,45007,31.3772803,-85.7638189,M2,W,1779775,18,2,100199,71839,17803,939,1156,93,6001,95779,4316
121640,"Eufaula, AL-GA Micro Area (part)","Eufaula, Alabama",AL,320,287949,3,6,1,21640,16,999,2291818968,50864716,11829,31.8333472,-85.3245749,M2,P,1779775,0,2,27457,12837,12820,60,107,24,1387,26691,778
