Geo_QName,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_AREALAND,Geo_AREAWATR,TotPop,White,Black,AIAN,Asian,Latinx
"Census Tract 201, Crawford County, Arkansas",Census Tract 201,5033020100,0,5,33,20100,480196924,3348164,4269.137858,4179.132311,2.002218449,30.00101705,12.00013876,46.00217263
"Census Tract 202.01, Crawford County, Arkansas",Census Tract 202.01,5033020201,0,5,33,20201,500268997,121804,3968.99997,3796.999971,1.999999985,150.9999989,0.999999992,17.99999986
"Census Tract 202.03, Crawford County, Arkansas",Census Tract 202.03,5033020203,0,5,33,20203,65478793,675519,3215.829797,3100.978733,9.234256416,54.25125645,23.08564104,28.27991027
"Census Tract 202.04, Crawford County, Arkansas",Census Tract 202.04,5033020204,0,5,33,20204,67237165,89960,2363.812104,2279.39056,6.894242003,39.81616481,16.92472097,20.78641572
"Census Tract 203.01, Crawford County, Arkansas",Census Tract 203.01,5033020301,0,5,33,20301,5039908,39334,3646.976565,3488.786303,19.27313327,55.76381013,33.97612151,47.65642334
"Census Tract 203.02, Crawford County, Arkansas",Census Tract 203.02,5033020302,0,5,33,20302,18230412,4477186,3547.261312,3393.396272,18.74616927,54.23912185,33.04714994,46.35340639
"Census Tract 204.01, Crawford County, Arkansas",Census Tract 204.01,5033020401,0,5,33,20401,128070144,4386756,4452.980251,4337.611516,18.09937316,58.05792629,4.128874683,34.08146643
"Census Tract 204.02, Crawford County, Arkansas",Census Tract 204.02,5033020402,0,5,33,20402,140755890,8606268,3540.661366,3480.032878,5.866361602,35.24881062,3.412611412,16.10070467
"Census Tract 205.01, Crawford County, Arkansas",Census Tract 205.01,5033020501,0,5,33,20501,32027623,6046346,2844.890357,2583.97372,70.19999681,41.34352013,90.87057106,57.72244813
"Census Tract 205.02, Crawford County, Arkansas",Census Tract 205.02,5033020502,0,5,33,20502,8723904,418794,4445.318639,4037.644073,109.682547,64.60282899,141.9803431,90.19000835
"Census Tract 206, Crawford County, Arkansas",Census Tract 206,5033020600,0,5,33,20600,90076915,663859,6196.970813,5975.892293,99.00341632,57.67358363,10.57366844,53.82785144
"Census Tract 9501, Franklin County, Arkansas",Census Tract 9501,5047950100,0,5,47,950100,822879854,10929826,2982.160255,2862.160697,47.99827562,22.00195065,3.000148644,46.99918339
"Census Tract 9502, Franklin County, Arkansas",Census Tract 9502,5047950200,0,5,47,950200,207603608,7638676,6351.000061,6210.000059,29.00000028,36.00000034,5.000000048,69.00000066
"Census Tract 9503, Franklin County, Arkansas",Census Tract 9503,5047950300,0,5,47,950300,546448917,9365422,5563.999977,5433.999977,20.99999991,30.99999987,14.99999994,62.99999973
"Census Tract 1, Sebastian County, Arkansas",Census Tract 1,5131000100,0,5,131,100,6970285,548854,5529.999967,3512.999979,902.9999946,87.99999948,853.9999949,161.999999
"Census Tract 2, Sebastian County, Arkansas",Census Tract 2,5131000200,0,5,131,200,15411078,2681459,4793.10627,3841.463368,499.8299499,67.67269677,306.0212292,77.22893376
"Census Tract 3, Sebastian County, Arkansas",Census Tract 3,5131000300,0,5,131,300,6361656,291272,1737.441867,1278.595176,358.9148331,36.6330798,39.26491604,22.92395388
"Census Tract 4, Sebastian County, Arkansas",Census Tract 4,5131000400,0,5,131,400,2208990,0,3782.999975,1645.999989,1435.99999,54.99999964,509.9999966,129.9999991
"Census Tract 5.01, Sebastian County, Arkansas",Census Tract 5.01,5131000501,0,5,131,501,2610886,0,4365.000024,3306.000018,805.0000043,57.00000031,127.0000007,63.00000034
"Census Tract 5.02, Sebastian County, Arkansas",Census Tract 5.02,5131000502,0,5,131,502,2923367,15042,2558.999968,2102.999973,317.999996,14.99999981,79.99999899,41.99999947
"Census Tract 6, Sebastian County, Arkansas",Census Tract 6,5131000600,0,5,131,600,12168835,2567249,4337.000025,4072.000024,156.0000009,28.00000016,37.00000022,40.00000023
"Census Tract 7, Sebastian County, Arkansas",Census Tract 7,5131000700,0,5,131,700,3410104,1377,4959.999968,4465.999971,295.9999981,62.9999996,81.99999947,47.99999969
"Census Tract 8, Sebastian County, Arkansas",Census Tract 8,5131000800,0,5,131,800,2459127,0,4365.999966,3695.999971,246.9999981,87.99999932,268.9999979,65.99999949
"Census Tract 10.01, Sebastian County, Arkansas",Census Tract 10.01,5131001001,0,5,131,1001,3205332,0,4617.00001,4373.00001,58.00000013,74.00000016,84.00000018,28.00000006
"Census Tract 10.02, Sebastian County, Arkansas",Census Tract 10.02,5131001002,0,5,131,1002,2549671,6714,2229.000004,2146.000004,23.00000004,27.00000005,18.00000003,14.00000002
"Census Tract 11.01, Sebastian County, Arkansas",Census Tract 11.01,5131001101,0,5,131,1101,5880122,85171,3890.999989,3709.99999,48.99999987,56.99999985,33.99999991,40.99999989
"Census Tract 11.02, Sebastian County, Arkansas",Census Tract 11.02,5131001102,0,5,131,1102,12724465,55092,3030.934453,2796.939513,93.99796719,16.99963236,71.99844295,50.99889709
"Census Tract 12.01, Sebastian County, Arkansas",Census Tract 12.01,5131001201,0,5,131,1201,4449730,42959,3505.450236,3304.307549,61.07134356,51.19557305,46.27798408,42.59778655
"Census Tract 12.02, Sebastian County, Arkansas",Census Tract 12.02,5131001202,0,5,131,1202,4370121,34047,2799.001529,2571.633847,53.18384068,48.49864884,91.43586733,32.24932442
"Census Tract 13.01, Sebastian County, Arkansas",Census Tract 13.01,5131001301,0,5,131,1301,5172681,2321799,2421.999997,2301.999997,21.99999997,23.99999997,50.99999993,22.99999997
"Census Tract 13.02, Sebastian County, Arkansas",Census Tract 13.02,5131001302,0,5,131,1302,57543932,4668503,4354.065624,3901.060558,47.00203519,87.00036806,239.0015589,77.0011042
"Census Tract 13.03, Sebastian County, Arkansas",Census Tract 13.03,5131001303,0,5,131,1303,10606932,55067,4664.999986,4420.999987,52.99999985,85.99999975,33.9999999,70.99999979
"Census Tract 13.04, Sebastian County, Arkansas",Census Tract 13.04,5131001304,0,5,131,1304,15644816,42564,5424.000003,5106.000003,72.00000004,63.00000003,131.0000001,52.00000003
"Census Tract 13.05, Sebastian County, Arkansas",Census Tract 13.05,5131001305,0,5,131,1305,6941096,914384,4087.999991,3928.999992,36.99999992,41.99999991,51.99999989,27.99999994
