Geo_QName,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_AREALAND,Geo_AREAWATR,TotPop,White,Black,AIAN,Asian,NHPI,Latinx
"Census Tract 201, Crawford County, Arkansas",Census Tract 201,5033020100,0,5,33,20100,480196924,3348164,5408.162177,5127.15016,3.005638512,84.00073948,7.00050839,0,113.002542
"Census Tract 202.01, Crawford County, Arkansas",Census Tract 202.01,5033020201,0,5,33,20201,500268997,121804,5259,4801,0,143,12,0,95
"Census Tract 202.03, Crawford County, Arkansas",Census Tract 202.03,5033020203,0,5,33,20203,65478793,675519,5398,4908.584411,51.36555116,115.4282049,61.7540896,0,178.9137175
"Census Tract 202.04, Crawford County, Arkansas",Census Tract 202.04,5033020204,0,5,33,20204,67237165,89960,3964.563806,3605.513953,37.6803622,84.72983085,45.25879437,0,131.1953506
"Census Tract 203.01, Crawford County, Arkansas",Census Tract 203.01,5033020301,0,5,33,20301,5039908,39334,4206,3834.927082,37.51283596,72.49102085,30.41581294,0,119.6355309
"Census Tract 203.02, Crawford County, Arkansas",Census Tract 203.02,5033020302,0,5,33,20302,18230412,4477186,4091,3730.072918,36.48716404,70.50897915,29.58418706,0,116.3644691
"Census Tract 204.01, Crawford County, Arkansas",Census Tract 204.01,5033020401,0,5,33,20401,128070144,4386756,4957,4627,33,57,69,0,63
"Census Tract 204.02, Crawford County, Arkansas",Census Tract 204.02,5033020402,0,5,33,20402,140755890,8606268,3975.665318,3820.678365,3.999663298,63.99461277,18.99840067,0,30.99739056
"Census Tract 205.01, Crawford County, Arkansas",Census Tract 205.01,5033020501,0,5,33,20501,32027623,6046346,3150.156904,2523.403684,62.44116757,28.87904,128.3946508,0,272.3995935
"Census Tract 205.02, Crawford County, Arkansas",Census Tract 205.02,5033020502,0,5,33,20502,8723904,418794,4922.561112,3943.249232,97.56566483,45.13631371,200.6135634,0,425.6242047
"Census Tract 206, Crawford County, Arkansas",Census Tract 206,5033020600,0,5,33,20600,90076915,663859,7914.718178,7503.248719,40.94725424,133.8266106,16.97890179,0,103.8671337
"Census Tract 9501, Franklin County, Arkansas",Census Tract 9501,5047950100,0,5,47,950100,822879854,10929826,3509.172505,3249.171475,121.9946982,16.00464776,11.00109094,0,55.00006749
"Census Tract 9502, Franklin County, Arkansas",Census Tract 9502,5047950200,0,5,47,950200,207603608,7638676,7248,6856,15,29,51,2,145
"Census Tract 9503, Franklin County, Arkansas",Census Tract 9503,5047950300,0,5,47,950300,546448917,9365422,7014,6644,24,79,33,0,83
"Census Tract 1, Sebastian County, Arkansas",Census Tract 1,5131000100,0,5,131,100,6970285,548854,5600,2417,1103,124,749,0,921
"Census Tract 2, Sebastian County, Arkansas",Census Tract 2,5131000200,0,5,131,200,15411078,2681459,4409,2698,500,31,391,6,606
"Census Tract 3, Sebastian County, Arkansas",Census Tract 3,5131000300,0,5,131,300,6361656,291272,2572,1322,501,56,164,0,458
"Census Tract 4, Sebastian County, Arkansas",Census Tract 4,5131000400,0,5,131,400,2208990,0,3714,1254,980,57,174,0,1052
"Census Tract 5.01, Sebastian County, Arkansas",Census Tract 5.01,5131000501,0,5,131,501,2610886,0,4756,2608,871,166,209,9,728
"Census Tract 5.02, Sebastian County, Arkansas",Census Tract 5.02,5131000502,0,5,131,502,2923367,15042,2813,1720,379,16,230,0,357
"Census Tract 6, Sebastian County, Arkansas",Census Tract 6,5131000600,0,5,131,600,12168835,2567249,5205,4271,252,138,33,28,390
"Census Tract 7, Sebastian County, Arkansas",Census Tract 7,5131000700,0,5,131,700,3410104,1377,5524,3901,498,106,110,0,761
"Census Tract 8, Sebastian County, Arkansas",Census Tract 8,5131000800,0,5,131,800,2459127,0,4898,3354,396,100,275,0,612
"Census Tract 10.01, Sebastian County, Arkansas",Census Tract 10.01,5131001001,0,5,131,1001,3205332,0,4625,4010,261,63,21,0,161
