Geo_QName,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_AREALAND,Geo_AREAWATR,TotPop,White,Black,AIAN,Asian,NLOther,Latinx,LatinxWH,LatinxBL,LatinxAIAN,LatinxASN,LatinxOth
"Census Tract 201, Crawford County, Arkansas",Census Tract 201,5033020100,0,5,33,20100,480196924,3348164,4269.137858,4179.132311,2.002218449,30.00101705,12.00013876,0,46.00217263,44.00184909,4.62E-05,1.000000009,4.62E-05,1.000231096
"Census Tract 202.01, Crawford County, Arkansas",Census Tract 202.01,5033020201,0,5,33,20201,500268997,121804,3968.99997,3796.999971,1.999999985,150.9999989,0.999999992,0,17.99999986,12.9999999,0,0,0.999999992,3.99999997
"Census Tract 202.03, Crawford County, Arkansas",Census Tract 202.03,5033020203,0,5,33,20203,65478793,675519,3215.829797,3100.978733,9.234256416,54.25125645,23.08564104,0,28.27991027,17.89137181,0,2.308564104,0,8.079974364
"Census Tract 202.04, Crawford County, Arkansas",Census Tract 202.04,5033020204,0,5,33,20204,67237165,89960,2363.812104,2279.39056,6.894242003,39.81616481,16.92472097,0,20.78641572,13.1601387,0,1.691084807,0.001261193,5.933931025
"Census Tract 203.01, Crawford County, Arkansas",Census Tract 203.01,5033020301,0,5,33,20301,5039908,39334,3646.976565,3488.786303,19.27313327,55.76381013,33.97612151,1.520773576,47.65642334,38.0214733,0.000840627,0.000646636,0.000517309,9.632945472
"Census Tract 203.02, Crawford County, Arkansas",Census Tract 203.02,5033020302,0,5,33,20302,18230412,4477186,3547.261312,3393.396272,18.74616927,54.23912185,33.04714994,1.479192744,46.35340639,36.98189414,0.000817643,0.000628956,0.000503165,9.369562482
"Census Tract 204.01, Crawford County, Arkansas",Census Tract 204.01,5033020401,0,5,33,20401,128070144,4386756,4452.980251,4337.611516,18.09937316,58.05792629,4.128874683,1.00109413,34.08146643,18.04570062,0.007193227,0.005533252,8.004326439,8.018712893
"Census Tract 204.02, Crawford County, Arkansas",Census Tract 204.02,5033020402,0,5,33,20402,140755890,8606268,3540.661366,3480.032878,5.866361602,35.24881062,3.412611412,0,16.10070467,14.61279804,0,0.999891979,0.037539589,0.450475065
"Census Tract 205.01, Crawford County, Arkansas",Census Tract 205.01,5033020501,0,5,33,20501,32027623,6046346,2844.890357,2583.97372,70.19999681,41.34352013,90.87057106,0.780100688,57.72244813,32.37220482,5.069890354,3.899915657,3.119971438,13.26046586
"Census Tract 205.02, Crawford County, Arkansas",Census Tract 205.02,5033020502,0,5,33,20502,8723904,418794,4445.318639,4037.644073,109.682547,64.60282899,141.9803431,1.21883869,90.19000835,50.58110169,7.921257621,6.093582167,4.874680872,20.719386
"Census Tract 206, Crawford County, Arkansas",Census Tract 206,5033020600,0,5,33,20600,90076915,663859,6196.970813,5975.892293,99.00341632,57.67358363,10.57366844,0,53.82785144,41.33208083,0,6.79E-05,0.961196044,11.5345067
"Census Tract 9501, Franklin County, Arkansas",Census Tract 9501,5047950100,0,5,47,950100,822879854,10929826,2982.160255,2862.160697,47.99827562,22.00195065,3.000148644,0,46.99918339,39.99938163,0.999953787,8.42E-05,0.999956947,4.999806858
"Census Tract 9502, Franklin County, Arkansas",Census Tract 9502,5047950200,0,5,47,950200,207603608,7638676,6351.000061,6210.000059,29.00000028,36.00000034,5.000000048,2.000000019,69.00000066,46.00000044,0,5.000000048,0,18.00000017
"Census Tract 9503, Franklin County, Arkansas",Census Tract 9503,5047950300,0,5,47,950300,546448917,9365422,5563.999977,5433.999977,20.99999991,30.99999987,14.99999994,0,62.99999973,51.99999978,0,3.999999983,0,6.99999997
