Geo_QName,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_AREALAND,Geo_AREAWATR,TotPop,White,Black,AIAN,Asian,NHPI,NLOther,NL2plus,Latinx,LatinxWH,LatinxBL,LatinxAIAN,LatinxASN,LatinxNHPI,LatinxOth,Latinx2plus
"Census Tract 201, Crawford County, Arkansas",Census Tract 201,5033020100,0,5,33,20100,480196924,3348164,5408.162,5167.152,6.004021,96.00176,8.000185,1.000046,3.000324,69.00208,58.00139,26.00055,0,9.24E-05,0,1,22.00069,9.000046
"Census Tract 202.01, Crawford County, Arkansas",Census Tract 202.01,5033020201,0,5,33,20201,500268997,121804,5259,4888,3,168,7,4,0,123,66,40,0,1,0,0,23,2
"Census Tract 202.03, Crawford County, Arkansas",Census Tract 202.03,5033020203,0,5,33,20203,65478793,675519,5398,4915.51,38.66845,111.3882,60.59981,0,4.039987,118.3139,149.4795,84.83973,0,2.308564,8.079974,0,36.35988,17.89137
"Census Tract 202.04, Crawford County, Arkansas",Census Tract 202.04,5033020204,0,5,33,20204,67237165,89960,3964.564,3610.443,28.42919,81.74291,44.40146,0.006551941,2.96333,86.80044,109.7769,62.33737,0.001310388,1.692395,5.918797,0,26.69224,13.13474
"Census Tract 203.01, Crawford County, Arkansas",Census Tract 203.01,5033020301,0,5,33,20301,5039908,39334,4206,3820.733,25.34651,80.09497,39.54056,0,4.055442,88.20586,148.0236,75.5326,0,4.055442,0,0,59.31084,9.124744
"Census Tract 203.02, Crawford County, Arkansas",Census Tract 203.02,5033020302,0,5,33,20302,18230412,4477186,4091,3716.267,24.65349,77.90503,38.45944,0,3.944558,85.79414,143.9764,73.4674,0,3.944558,0,0,57.68916,8.875256
"Census Tract 204.01, Crawford County, Arkansas",Census Tract 204.01,5033020401,0,5,33,20401,128070144,4386756,4957,4652,37,69,29,0,4,70,96,51,0,5,0,0,33,7
"Census Tract 204.02, Crawford County, Arkansas",Census Tract 204.02,5033020402,0,5,33,20402,140755890,8606268,3975.665,3784.681,3.999663,94.992,11.99899,0,0,46.99604,32.99722,19.99832,0,1.999832,0,0,2.999747,7.999327
"Census Tract 205.01, Crawford County, Arkansas",Census Tract 205.01,5033020501,0,5,33,20501,32027623,6046346,3150.157,2482.817,84.68583,57.36782,145.1757,0,1.561029,95.22278,283.3268,77.27094,0.3902573,3.512316,0.3902573,0,176.7866,24.97647
"Census Tract 205.02, Crawford County, Arkansas",Census Tract 205.02,5033020502,0,5,33,20502,8723904,418794,4922.561,3879.837,132.3193,89.64699,226.8323,0,2.439508,148.793,442.6931,120.7403,0.6097427,5.487991,0.6108175,0,276.2183,39.02591
"Census Tract 206, Crawford County, Arkansas",Census Tract 206,5033020600,0,5,33,20600,90076915,663859,7914.718,7393.393,78.89722,112.8541,7.990673,4.993448,2.996146,100.8699,212.7237,144.8116,0.9986896,0.9987337,0.000154182,0,43.94304,21.97151
"Census Tract 9501, Franklin County, Arkansas",Census Tract 9501,5047950100,0,5,47,950100,822879854,10929826,3509.173,3297.166,86.99632,38.00624,4.000825,0.9999538,6.999676,45.00188,30.00139,12.00113,0,2.000076,0,0,14.99956,1.000627
"Census Tract 9502, Franklin County, Arkansas",Census Tract 9502,5047950200,0,5,47,950200,207603608,7638676,7248,6934,9,49,16,5,4,68,163,86,0,3,0,4,43,27
"Census Tract 9503, Franklin County, Arkansas",Census Tract 9503,5047950300,0,5,47,950300,546448917,9365422,7014,6712,12,48,26,0,5,94,117,50,2,2,0,0,58,5
"Census Tract 1, Sebastian County, Arkansas",Census Tract 1,5131000100,0,5,131,100,6970285,548854,5600,2385,1098,109,863,6,13,200,926,292,12,16,0,0,461,145
"Census Tract 2, Sebastian County, Arkansas",Census Tract 2,5131000200,0,5,131,200,15411078,2681459,4472,2623,424,87,461,0,11,168,698,192,12,12,11,7,431,33
"Census Tract 3, Sebastian County, Arkansas",Census Tract 3,5131000300,0,5,131,300,6361656,291272,2509,1393,579,39,41,1,4,48,404,96,4,0,0,0,286,18
"Census Tract 4, Sebastian County, Arkansas",Census Tract 4,5131000400,0,5,131,400,2208990,0,3714,1259,1067,63,176,0,3,97,1049,302,13,9,1,0,683,41
"Census Tract 5.01, Sebastian County, Arkansas",Census Tract 5.01,5131000501,0,5,131,501,2610886,0,4756,2577,932,52,301,1,1,156,736,268,3,0,0,4,426,35
"Census Tract 5.02, Sebastian County, Arkansas",Census Tract 5.02,5131000502,0,5,131,502,2923367,15042,2813,1743,369,24,227,1,0,82,367,121,4,6,2,1,211,22
"Census Tract 6, Sebastian County, Arkansas",Census Tract 6,5131000600,0,5,131,600,12168835,2567249,5205,4264,266,66,95,0,0,114,400,101,1,5,0,1,271,21
"Census Tract 7, Sebastian County, Arkansas",Census Tract 7,5131000700,0,5,131,700,3410104,1377,5524,3942,488,89,111,8,1,148,737,285,6,12,0,0,390,44
"Census Tract 8, Sebastian County, Arkansas",Census Tract 8,5131000800,0,5,131,800,2459127,0,4898,3309,392,81,269,4,1,123,719,180,7,15,0,1,473,43
"Census Tract 10.01, Sebastian County, Arkansas",Census Tract 10.01,5131001001,0,5,131,1001,3205332,0,4625,4015,153,110,76,0,0,98,173,105,1,7,0,0,46,14
"Census Tract 10.02, Sebastian County, Arkansas",Census Tract 10.02,5131001002,0,5,131,1002,2549671,6714,2041,1923,22,22,6,0,0,35,33,18,0,1,0,0,14,0
"Census Tract 11.01, Sebastian County, Arkansas",Census Tract 11.01,5131001101,0,5,131,1101,5880122,85171,4008,3570,159,72,57,3,1,65,81,34,5,2,0,0,30,10
"Census Tract 11.02, Sebastian County, Arkansas",Census Tract 11.02,5131001102,0,5,131,1102,12724465,55092,2977,2528,156,52,107,1,5,46,82,34,0,6,0,0,33,9
"Census Tract 12.01, Sebastian County, Arkansas",Census Tract 12.01,5131001201,0,5,131,1201,4449730,42959,3409,2976,110,81,80,1,1,60,100,60,1,0,1,0,35,3
"Census Tract 12.02, Sebastian County, Arkansas",Census Tract 12.02,5131001202,0,5,131,1202,4370121,34047,3017,2506,94,51,98,0,0,82,186,75,0,2,0,0,94,15
"Census Tract 13.01, Sebastian County, Arkansas",Census Tract 13.01,5131001301,0,5,131,1301,5172681,2321799,2448,2186,58,14,89,0,0,55,46,23,0,5,0,0,16,2
"Census Tract 13.02, Sebastian County, Arkansas",Census Tract 13.02,5131001302,0,5,131,1302,57543932,4668503,6278,5344,113,103,333,0,12,154,219,108,0,3,1,0,89,18
"Census Tract 13.03, Sebastian County, Arkansas",Census Tract 13.03,5131001303,0,5,131,1303,10606932,55067,4909,4384,144,95,85,1,1,126,73,32,0,2,1,0,32,6
"Census Tract 13.04, Sebastian County, Arkansas",Census Tract 13.04,5131001304,0,5,131,1304,15644816,42564,7253,6464,184,86,275,1,1,112,130,91,0,3,5,0,25,6
"Census Tract 13.05, Sebastian County, Arkansas",Census Tract 13.05,5131001305,0,5,131,1305,6941096,914384,4773,4354,117,38,135,1,3,58,67,29,0,1,0,0,23,14
