"year","starttype","endtype","freq","Percent"
1,1,1,1540,0.650887573964497
1,1,2,0,0
1,1,5,96,0.040574809805579
1,1,7,582,0.245984784446323
1,1,9,0,0
1,1,10,0,0
1,1,12,91,0.0384615384615385
1,1,13,48,0.0202874049027895
1,1,15,9,0.00380388841927303
1,2,1,0,0
1,2,2,584,0.842712842712843
1,2,5,7,0.0101010101010101
1,2,7,0,0
1,2,9,59,0.0851370851370851
1,2,10,0,0
1,2,12,1,0.00144300144300144
1,2,13,0,0
1,2,15,42,0.0606060606060606
1,5,1,104,0.0961182994454713
1,5,2,33,0.0304990757855823
1,5,5,625,0.577634011090573
1,5,7,52,0.0480591497227357
1,5,9,14,0.0129390018484288
1,5,10,0,0
1,5,12,225,0.207948243992606
1,5,13,2,0.00184842883548983
1,5,15,27,0.0249537892791128
1,7,1,266,0.0847943895441505
1,7,2,0,0
1,7,5,55,0.0175326745298055
1,7,7,1913,0.609818297736691
1,7,9,4,0.00127510360216768
1,7,10,65,0.0207204335352247
1,7,12,371,0.118265859101052
1,7,13,338,0.107746254383169
1,7,15,125,0.0398469875677399
1,9,1,0,0
1,9,2,19,0.0434782608695652
1,9,5,0,0
1,9,7,1,0.0022883295194508
1,9,9,365,0.835240274599542
1,9,10,34,0.0778032036613272
1,9,12,10,0.022883295194508
1,9,13,0,0
1,9,15,8,0.0183066361556064
1,10,1,0,0
1,10,2,0,0
1,10,5,0,0
1,10,7,6,0.00863309352517986
1,10,9,7,0.0100719424460432
1,10,10,674,0.969784172661871
1,10,12,0,0
1,10,13,8,0.0115107913669065
1,10,15,0,0
1,12,1,14,0.00835322195704057
1,12,2,54,0.0322195704057279
1,12,5,141,0.0841288782816229
1,12,7,84,0.0501193317422434
1,12,9,93,0.0554892601431981
1,12,10,6,0.0035799522673031
1,12,12,913,0.544749403341289
1,12,13,13,0.00775656324582339
1,12,15,358,0.213603818615752
1,13,1,27,0.0191761363636364
1,13,2,0,0
1,13,5,0,0
1,13,7,281,0.199573863636364
1,13,9,14,0.00994318181818182
1,13,10,82,0.0582386363636364
1,13,12,44,0.03125
1,13,13,736,0.522727272727273
1,13,15,224,0.159090909090909
1,15,1,1,0.00102880658436214
1,15,2,53,0.0545267489711934
1,15,5,4,0.00411522633744856
1,15,7,18,0.0185185185185185
1,15,9,249,0.256172839506173
1,15,10,15,0.0154320987654321
1,15,12,86,0.088477366255144
1,15,13,41,0.0421810699588477
1,15,15,505,0.519547325102881
2,1,1,1193,0.611168032786885
2,1,2,0,0
2,1,5,94,0.048155737704918
2,1,7,461,0.236168032786885
2,1,9,0,0
2,1,10,0,0
2,1,12,107,0.0548155737704918
2,1,13,60,0.0307377049180328
2,1,15,37,0.0189549180327869
2,2,1,0,0
2,2,2,598,0.804845222072678
2,2,5,25,0.0336473755047106
2,2,7,1,0.00134589502018843
2,2,9,64,0.0861372812920592
2,2,10,0,0
2,2,12,20,0.0269179004037685
2,2,13,0,0
2,2,15,35,0.0471063257065949
2,5,1,81,0.0872844827586207
2,5,2,23,0.0247844827586207
2,5,5,575,0.619612068965517
2,5,7,16,0.0172413793103448
2,5,9,7,0.00754310344827586
2,5,10,0,0
2,5,12,195,0.210129310344828
2,5,13,3,0.00323275862068966
2,5,15,28,0.0301724137931034
2,7,1,240,0.0817160367722165
2,7,2,0,0
2,7,5,30,0.0102145045965271
2,7,7,1815,0.617977528089888
2,7,9,10,0.00340483486550902
2,7,10,65,0.0221314266258086
2,7,12,318,0.108273748723187
2,7,13,296,0.100783112019067
2,7,15,163,0.0554988083077971
2,9,1,0,0
2,9,2,15,0.0186335403726708
2,9,5,6,0.00745341614906832
2,9,7,3,0.00372670807453416
2,9,9,652,0.809937888198758
2,9,10,54,0.0670807453416149
2,9,12,28,0.0347826086956522
2,9,13,3,0.00372670807453416
2,9,15,44,0.0546583850931677
2,10,1,0,0
2,10,2,0,0
2,10,5,0,0
2,10,7,21,0.023972602739726
2,10,9,21,0.023972602739726
2,10,10,826,0.942922374429224
2,10,12,0,0
2,10,13,6,0.00684931506849315
2,10,15,2,0.00228310502283105
2,12,1,12,0.00689259046524986
2,12,2,24,0.0137851809304997
2,12,5,136,0.0781160252728317
2,12,7,117,0.0672027570361861
2,12,9,101,0.058012636415853
2,12,10,9,0.00516944284893739
2,12,12,1017,0.584147041929925
2,12,13,24,0.0137851809304997
2,12,15,301,0.172889144170017
2,13,1,6,0.00505902192242833
2,13,2,0,0
2,13,5,0,0
2,13,7,214,0.18043844856661
2,13,9,17,0.0143338954468803
2,13,10,77,0.0649241146711636
2,13,12,42,0.0354131534569983
2,13,13,596,0.502529510961214
2,13,15,234,0.197301854974705
2,15,1,3,0.00231124807395994
2,15,2,77,0.0593220338983051
2,15,5,7,0.00539291217257319
2,15,7,32,0.024653312788906
2,15,9,268,0.206471494607088
2,15,10,22,0.0169491525423729
2,15,12,174,0.134052388289676
2,15,13,45,0.0346687211093991
2,15,15,670,0.51617873651772
